idx,producer,n_frames,f0,f1,claim_t,done_t,seek_s,claim_wait_s,claim_by
0,gpu,299,0,298,27684.1935,27684.9394,0.0844,0.0,fast
1,gpu,299,299,597,27684.9394,27685.554,0.0,0.0,fast
2,gpu,299,598,896,27685.5541,27685.8595,0.0,0.0,fast
3,gpu,299,897,1195,27685.8595,27686.2301,0.0,0.0,fast
4,gpu,299,1196,1494,27686.2302,27686.8236,0.0,0.0,fast
5,gpu,299,1495,1793,27686.8236,27687.1231,0.0,0.0,fast
6,cpu,299,1794,2092,27685.7094,27686.2411,0.0765,0.0,slow
7,cpu,299,2093,2391,27685.2138,27685.709,0.0548,0.0,slow
8,cpu,299,2392,2690,27684.6911,27685.2137,0.0661,0.0,slow
9,cpu,299,2691,2989,27684.1941,27684.691,0.062,0.0,slow
10,gpu,299,2990,3288,27687.1232,27687.5186,0.0622,0.0,fast
11,cpu,299,3289,3587,27687.1869,27687.5429,0.0747,0.0,slow
12,gpu,299,3588,3886,27687.5187,27687.9362,0.0811,0.0,fast
13,cpu,113,3887,3999,27687.543,27687.7155,0.0533,0.0,slow
